Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1659,3,4,6,7,11,13,16,16,13,10,5,2
1660,0,4,6,9,11,14,15,16,13,10,6,5
1661,5,5,6,8,11,14,15,15,13,11,8,6
1662,5,6,6,8,11,15,15,15,13,11,6,3
1663,1,1,5,7,10,14,15,15,13,10,7,5
1664,4,5,5,8,11,15,16,16,13,9,6,4
1665,1,1,5,7,10,14,16,15,13,9,6,2
1666,4,5,6,8,11,15,18,17,14,11,6,3
1667,0,4,2,7,10,15,17,16,13,9,6,3
1668,5,5,5,8,10,14,16,16,14,10,6,5
1669,1,4,5,7,11,15,17,16,14,10,6,2
1670,3,1,5,8,11,14,16,16,14,10,6,3
1671,4,3.5,5,7.5,11.5,13.5,16,15.5,13.5,8.5,6,4
1672,1.5,1.5,5,7,12,16,15,14,11,11.5,6.5,4.5
1673,5,1.5,5.5,7,11,14.5,15.5,15.5,11.5,7.5,5,0.5
1674,5,2,1,7.5,11,13.5,14,13.5,10.5,9,6.5,3.5
1675,3,2,3,7,10.5,11.5,15,14.5,10.5,8,4.5,4.5
1676,5.5,5,5,7.5,10.5,18,16,16.5,12,7,3.5,-0.5
1677,3,3.5,7,7.5,10,13,18,15,13,8.5,4.5,2
1678,1.5,2,4,6.5,11,14.5,16.5,15,15,8.5,6,0.5
1679,1,1.5,4.5,7,12,15.5,16,17,13,11,3.5,2.5
1680,3.5,3.5,6,6.5,10.5,13,16,15,14.5,10.5,6.5,1
1681,0.5,1.5,4,8,10.5,14,15,16,14,11.5,6.5,3
1682,6,2,4.5,6.5,11.5,14,15,14.5,13,9.5,5.5,6
1683,3.5,2,5.5,9.5,11.5,16,15.5,13.5,13,6.5,4.5,0.5
1684,3,1,3,6.5,13,15,16,15.5,12,11,3,4
1685,0.5,3.5,5,8.5,12.5,14.5,14,14.5,11.5,11.5,7,6.5
1686,6.5,6,7,8.5,12.5,15.5,16.5,14.5,13,9,6.5,6
1687,3.5,4.5,4.5,6.5,11,13,15.5,15,11,11,6,6
1688,3.5,1.5,3.5,5.5,10.5,13,15.5,15,12,7,4,3
1689,0.5,4.5,5,8,11,12,15.5,15.5,13,8,5,4.5
1690,4,4.5,4.5,8,9.5,13.5,15.5,15,13,8.5,6.5,4.5
1691,1,1,5,6.5,10,14.5,15.5,15.5,11,9,5,3.5
1692,2,0,4,7.5,9,13.5,15,15,11.5,6.5,5,3.5
1693,3,5,3,6.5,9,14.5,15,15,12,9.5,6,3
1694,0,5,3.5,7.5,9,13,15,13,10.5,7.5,5.5,2.5
1695,1,0.5,3.5,5.5,9,13,13.5,13,11.5,9,5.5,4
1696,5.5,4.5,3.5,5.5,10.5,13,15.5,15.5,11.5,9,5.5,2.5
1697,1,0.5,5.5,7,11.5,13,15.5,14.5,12,9,4,2.5
1698,0,0.5,3.5,7.5,8.5,12,15,15,13,9,4,3.5
1699,3.4,3.4,3.9,6.4,10,14.4,17.2,15,13.3,9.4,5.6,3.6
1700,3.9,2.5,3.6,6.4,12,13.6,15,15,12.8,8.9,5,4.2
1701,2.8,2.5,2.8,4.7,10.9,14.2,18.3,16.1,14.7,7.5,6.4,3.6
1702,5,6.7,5.8,5.8,10.6,13.3,15,16.1,14.4,10,4.4,4.4
1703,2.2,3.9,5.6,8.3,11.9,13.9,16.1,16.1,10.6,7.8,7.2,5.1
1704,2,3.3,5.3,8.3,11.5,14.4,16.7,16.9,11.9,8.3,6.4,3.6
1705,2.8,3.9,4.4,7.8,11.2,12.2,15.6,17.5,11.9,8.9,3.9,4.4
1706,2.8,4.2,6.4,8.9,12.2,15.6,16.1,16.7,12.5,11.2,6.1,4.7
1707,3.5,3,5,8.5,11,16,17,16,14,8.5,6.5,3.5
1708,6,4,6.5,9.5,10.5,14,15,17,15,8.5,7,3
1709,1.5,2,3,9,12,14.5,15.5,15.5,13.5,10,7.5,3.5
1710,2.5,3.5,6,6.5,11.5,14.5,15,15.5,13.5,9.5,8,7.5
1711,5,2,5.5,9.5,11,15.5,15.5,15,13,9.5,7,4
1712,3,4.5,5,7.5,11,15,16,15,13,9.5,6,4
1713,3,5.5,4.5,5.5,10.5,13.5,14,15,14,9.5,4.5,4
1714,4,5.5,5,7.5,10,14.5,18,15,13,10.5,6,4
1715,4,5,6.5,9.5,11,14,15.5,15,14,10.5,6.5,1.5
1716,2,3,4.5,9,10.5,14,15.5,15.5,12.5,9.5,5.5,3
1717,4.5,2.5,4.5,7.5,11,14,15,15.5,13.5,9.5,5.5,5
1718,1.5,3,5.5,7.5,11,14.5,17,17,14.5,9.5,5.5,4.5
1719,3,4,5,7,11.5,15,18,17,14,9.5,6,3.5
1720,4.5,4,4,7.5,11,13,16,15,13.5,9,6,5.5
1721,4,2,3.5,8.5,9.5,14,15.5,16,14,9,6,4.5
1722,4,5,6,7.5,10.5,14,15,15,13.5,10,7.8,3.9
1723,1.1,4.4,7.5,8.9,11.7,15,15.3,15.6,13.3,11.1,7.5,5.8
1724,5.6,4.2,4.7,7.2,11.4,15.3,15,16.2,14.4,8.6,5.3,3.3
1725,4.4,3.3,5,8.1,10.8,12.2,13.8,13.3,12.8,9.4,6.9,3.9
1726,1.1,4.2,4.2,8.4,13.4,16.4,16,15.6,14.7,10.2,6.1,1.8
1727,4.2,5,5.1,9.2,13.6,14.9,16.9,16.9,14.4,10.8,4.7,3.6
1728,3.9,2.4,7.1,8.3,12.5,16.4,16.9,16,12.8,9.1,7.2,1.6
1729,1.2,2.3,2.8,7.1,10.3,15.1,16.8,15.7,16.6,10.1,8.1,5
1730,4.1,4.7,6.2,8.7,12.4,14,15.3,16.3,15.3,10.9,9.2,3.4
1731,1.9,2.2,6,6.8,12.1,15.6,16.3,16.7,15.3,12.3,7.8,5.2
1732,2.4,6.4,6.1,8.9,11.4,14.6,16,16.6,14.5,10.9,6.3,2.2
1733,6.9,6,5.9,0,11.2,15.2,18.3,16.1,12.8,9.1,6.5,7.6
1734,4.3,6.4,8.1,9.3,11.1,14.1,16.2,16.2,13.3,8.4,6.2,4
1735,4.4,4,5.8,8.9,10.9,13.3,14.8,16.2,14.2,10.3,6.3,5.4
1736,6.4,3.1,6.9,8.6,10.6,15.7,16.4,17.8,14.4,10.4,6.9,6.4
1737,6.2,4.2,6.1,8.8,12.5,15.9,17.4,13.8,14.2,8.9,6.1,4.9
1738,4.6,4.6,5.5,9.9,11.4,14.2,16.4,16,12.5,10.2,6.3,6.1
1739,4,6.8,5.8,6.7,11.6,15.2,16,14.7,13.1,9.6,3.7,3.2
1740,2.8,1.6,3.9,6.4,8.6,12.8,15.3,14.7,14,5.3,3.3,2.2
1741,1.7,4.4,4.2,7.1,9.3,15.2,15.6,16.7,14.7,11,7.8,3.9
1742,1.9,3.6,4.1,6.6,10.6,15,15.8,15.8,12.2,9.2,4.4,1.1
1743,3.6,5.4,5.3,5.4,13.3,15.6,14.9,16.9,14.2,8.9,9.3,4.9
1744,1.4,2.9,4.8,6.7,10.8,14.4,16.4,15.4,12.8,9.4,6.9,3.5
1745,3.8,2.3,4.4,7.5,11.4,12.2,16.1,15,14.2,10.3,5.8,2.7
1746,2.5,1.4,3.1,6.9,12.8,14.3,15.8,15.9,14.2,7.8,3.3,5.3
